Contexto,Pergunta,Resposta,source_file,stringFilter,isAlign,isEnv,isSocial,isGovernance,isGeneral,Comentários
"Relying on Connie’s decades of experience as a certified public accountant, the LaFonds decided the best way to support TNC’s future work was through a bequest and a deferred gift annuity.",What long-term goal did the LaFonds aim to support through their financial commitment to TNC?,The LaFonds aimed to support TNC’s future work through their financial commitment.,ESGBERT/governance_data,none,1,1,0,1,0,
"At the New York Aquarium, WCS connects visitors with the diverse ocean ecosystem in their own backyard, highlighting the types of field research our scientists are doing right offshore in the waters of New York.",How does the New York Aquarium help raise public awareness about local marine ecosystems?,The New York Aquarium raises public awareness by showcasing the diverse ocean ecosystem and highlighting the field research taking place in nearby waters.,ESGBERT/governance_data,none,1,0,0,1,0,
A Transformative Climate Action Framework: Putting People at the Center of Our Nation’s Clean Energy Transition will guide our strategy and analysis going forward.,What is the primary focus of the Transformative Climate Action Framework?,The primary focus of the framework is to place people at the center of the nation’s clean energy transition.,ESGBERT/governance_data,none,1,0,0,1,0,
"We Stand for Wildlife® http://www.wcs.org MISSION WCS saves wildlife and wild places worldwide through science, conservation action, education, and inspiring people to value nature.",What is the primary objective of the We Stand for Wildlife® initiative?,"The primary objective is to save wildlife and wild places worldwide through science, conservation action, education, and inspiring people to value nature.",ESGBERT/environment_data,none,1,1,0,1,0,
"With that in mind, Ult im at e Civics has been deep in development with the Cloud Institute for Sustainability Education to create lesson material about using civic power as responsible citizens to shape, operate, and maintain an equitable and more sustainable democracy for all.",What is the primary objective of the collaboration between Ultimate Civics and the Cloud Institute for Sustainability Education?,"The primary objective is to create lesson material that teaches citizens how to use their civic power to shape, operate, and maintain an equitable and more sustainable democracy for all.",ESGBERT/social_data,none,1,0,1,1,0,
The ALERT Project prevailed in its lawsuit against the U.S. Environmental Protection Agency (EPA) in a landmark decision requiring the EPA to update its decades-old regulations on the use of toxic chemical dispersants in oil spill responses.,What issue does the ALERT Project's lawsuit highlight in terms of environmental governance?,"The lawsuit highlights the need for updated and transparent regulatory frameworks to manage the use of toxic chemical dispersants in oil spill responses, ensuring environmental protection and public accountability.",ESGBERT/governance_data,none,1,1,0,1,0,
"The collective has been working to protect treaty rights of the Anishinaabe, as well as sacred wild rice and other food sources, medicine, diverse ecosystems, and wetlands and lakes throughout the territories.",What natural resources are the Anishinaabe working to protect in their territories?,"The Anishinaabe are working to protect sacred wild rice, other food sources, medicine, diverse ecosystems, wetlands, and lakes.",ESGBERT/environment_data,none,1,1,0,0,0,
"pandemic, and global leaders looking to WCS for guidance, we issue a new policy, backed by science, on the actions that governments and societies around the globe must take in order to reduce the risks of future pandemics.",What is the role of science in shaping the policy issued by WCS to address future pandemic risks?,"Science plays a central role in shaping the policy issued by WCS, as the policy is explicitly backed by science to guide governments and societies in reducing the risks of future pandemics.",ESGBERT/governance_data,none,1,0,1,1,0,
Audubon is advancing Natural Climate Solutions as a science-based approach to help restore and maintain natural ecosystems.,What role does science play in Audubon's approach to climate solutions?,"Science plays a central role in Audubon's approach, as it underpins the Natural Climate Solutions method aimed at restoring and maintaining natural ecosystems.",ESGBERT/environment_data,none,1,1,0,0,0,
"by climate change, traditional methods of wild honey collection have sometimes caused catastrophic forest fires, further degrading the integrity of remaining forests.",What environmental issue is worsened by the combination of climate change and wild honey collection practices?,The integrity of remaining forests is degraded due to catastrophic forest fires linked to these practices and climate change.,ESGBERT/environment_data,none,1,1,0,0,1,
"LASTING Impact CIRCLE RAN’s Lasting Impact Circle recognizes those individuals who have included Rainforest Action Network in their long term charitable plans, contributing to a legacy that will protect our climate, keep forests standing, and uphold human rights.",What kind of contributions are individuals in the Lasting Impact Circle making to RAN?,Individuals in the Lasting Impact Circle are making long-term charitable contributions to Rainforest Action Network through inclusion in their long-term charitable plans.,ESGBERT/social_data,none,1,0,1,0,0,
"In fiscal year issues, including a cover story about a grassroots movement against a proposed lithium mine in Nevada calling attention to green tech?s reliance on extractive industries and practices; a dispatch about an anti-science movement in Puglia, Italy, that has stymied efforts to combat a disease devastating the region?s ancient olive trees; and an award-winning investigation into how a loophole in California's cap-and-trade program is allowing a Native Alaskan timber company to sell carbon offsets for forests that were likely never intended for logging.",What issue does the investigation into California's cap-and-trade program reveal about carbon offset practices?,"The investigation reveals that a loophole in California's cap-and-trade program is being exploited by a Native Alaskan timber company to sell carbon offsets for forests that were likely never intended for logging, raising concerns about the integrity of such practices.",ESGBERT/environment_data,none,1,1,0,1,0,
The Marine Mammal Center rescues and rehabilitates sick and injured marine mammals at our state-of-the-art veterinary facilities by engaging a dedicated workforce and a supportive community.,What kind of facilities does The Marine Mammal Center use to care for marine mammals?,The Marine Mammal Center uses state-of-the-art veterinary facilities to care for marine mammals.,ESGBERT/social_data,none,1,1,0,0,0,
"Businesses should work against corruption in all its forms, including extortion and bribery.",How can businesses demonstrate their commitment to ethical governance?,"Businesses can demonstrate their commitment by actively working to prevent corruption, including extortion and bribery.",ESGBERT/governance_data,none,1,0,0,1,1,
"Today, Signet remains a participant in its SDG Taskforce and numerous committees, actively ensuring adherence to globally responsible business practices that include human rights, labor practices, environment, and anti-corruption.",What ongoing commitment does Signet demonstrate through its involvement in the SDG Taskforce?,Signet demonstrates an ongoing commitment to adhering to globally responsible business practices through its participation in the SDG Taskforce.,ESGBERT/social_data,none,1,0,1,1,0,
"We are in the midst of one of the most challenging times in recent history: a global pandemic, the invasion of Ukraine, natural and human-made disasters, and a constant flow of disinformation.",In what ways can global crises like the pandemic or natural disasters exacerbate social inequalities?,"Global crises can disproportionately affect vulnerable populations, worsening access to healthcare, education, and economic opportunities, thereby deepening social inequalities.",ESGBERT/social_data,none,1,0,1,0,1,"O conjunto pergunta e resposta é muito bom, mas o contexto é bem ruim, ainda assim, como como o conjunto principal era bom, resolvi colocar aqui."
"Economic Security NCOA offers comprehensive, person-centered economic assistance to struggling older adults, as well as community financial education workshops and online tools.",What population is the primary focus of NCOA’s economic security initiatives?,The primary focus of NCOA’s economic security initiatives is older adults.,ESGBERT/social_data,none,1,0,1,0,0,
"One of the most biologically unique ecosystems on the planet, the boreal constitutes remaining intact forest and supports nearly 400 bird species and some of the last healthy populations of the world’s large mammal species.",Why is the boreal ecosystem considered especially significant in terms of environmental conservation?,"The boreal is considered especially significant because it is one of the most biologically unique ecosystems on the planet and contains remaining intact forest areas, which are rare in today’s world.",ESGBERT/environment_data,none,1,1,0,0,0,
"COLL also trained educators, volunteer leaders, and Wilderness First Aid participants.",What types of individuals did COLL provide training for?,"COLL provided training for educators, volunteer leaders, and Wilderness First Aid participants.",ESGBERT/social_data,none,1,0,1,0,0,
"To help encourage countries and businesses to accelerate their transition to carbon neutrality, TBWA\\Singapore helped Standard Chartered launch a new film that demonstrates the impact of carbon, highlights the bank's commitment to tackling carbon emissions and outlines how the bank helps its clients finance a transition to net-zero.",How does Standard Chartered demonstrate its commitment to tackling carbon emissions through its initiatives?,Standard Chartered demonstrates its commitment to tackling carbon emissions by launching a film that outlines how the bank helps its clients finance a transition to net-zero.,ESGBERT/governance_data,none,1,1,0,1,0,
Driving policy innovation to ensure equitable access to nature and inclusive public lands decision-making.,What is the goal of ensuring equitable access to nature through policy innovation?,"The goal is to provide fair and just opportunities for all individuals, regardless of background, to access and benefit from natural environments.",ESGBERT/environment_data,none,1,1,0,1,1,
"This water quality trend report found that in much of America’s farm country, nitrate contamination of drinking water poses a serious health risk.",What is one significant health risk identified in rural areas of America due to agricultural activity?,Nitrate contamination of drinking water poses a serious health risk.,ESGBERT/social_data,none,1,1,1,0,0,
"Working with and for the people of East Africa to build lasting protection of the Serengeti-Mara ecosystem, Serenget i Wat ch developed a program to supply Maasai women with beehives, the honey from which they sell, providing a source of income, empowerment, and enthusiasm.",How does Serengeti Watch support Maasai women in East Africa?,"Serengeti Watch supports Maasai women by supplying them with beehives, allowing them to produce and sell honey as a source of income, empowerment, and enthusiasm.",ESGBERT/social_data,none,1,0,1,0,0,
Strong governance prac tices support and promote the long-term interests of our stakeholders while ensuring accountability and inspiring trust.,What role do strong governance practices play in promoting stakeholder interests?,Strong governance practices support and promote the long-term interests of stakeholders by ensuring accountability and inspiring trust.,ESGBERT/governance_data,none,1,0,0,1,1,
CONSERVATION IMPACT Advancing Climate Science to Protect Coral Reefs WCS is using robust science to evaluate the impacts of climate change on coastal ecosystems and forests.,What is the primary focus of WCS's efforts in relation to climate change?,The primary focus of WCS's efforts is to evaluate the impacts of climate change on coastal ecosystems and forests through the use of robust science.,ESGBERT/environment_data,none,1,1,0,0,0,
"10,500+ Hudsonian Godwits will be protected thanks to a Conserva Aves land management agreement in Chile.",What type of ESG-related action is being taken to support the Hudsonian Godwit population in Chile?,A land management agreement is being used to protect the species.,ESGBERT/governance_data,none,1,0,1,1,0,
"To reach more people and engage them in conservation, we will innovate, expand, and strengthen our conservation science programming, building forward-looking, hybrid models that incorporate both inperson and digital experiences.",What approach is being used to expand conservation science programming?,A hybrid model that incorporates both inperson and digital experiences is being used.,ESGBERT/environment_data,none,1,1,0,0,0,"Talvez desse para colocar em general, mas não tenho muita certeza."
"A HEALTHY ENVIRONMENT In May, the Maya children of Homún won a resounding victory in front of Mexico’s Supreme Court, defeating a highly polluting industrial hog facility in Yucatán, Mexico that threatened to unleash millions of pounds of animal waste, among other pollutants, into the Maya community.",What social impact does the victory of the Maya children in Homún represent?,The victory represents a significant social impact by empowering a vulnerable community to defend its environmental and health rights against industrial pollution.,ESGBERT/social_data,none,1,0,1,0,0,
FRAMEWORKS Signet believes transparency about our key suppliers is important for accountability to our stakeholders.,What role does transparency play in Signet's relationship with its stakeholders?,Transparency plays a crucial role in Signet's relationship with its stakeholders by fostering accountability.,ESGBERT/social_data,none,1,0,0,1,0,
"In partnership with trained youth development professionals from a diverse set of organizations, AMC supported transformative outdoor experiences in both city parks and wilderness areas to engage young people with nature and each other.",What was the environmental goal of AMC’s initiative in engaging young people?,The environmental goal was to connect young people with nature and each other through outdoor experiences.,ESGBERT/environment_data,none,1,1,1,0,0,
People whose farms have been stolen and watched their local forests bulldozed all in the name of corporate greed.,What negative environmental impacts are described as occurring in the name of corporate greed?,Local forests are bulldozed.,ESGBERT/environment_data,none,1,1,0,0,1,
"Our trademark combination of science and advocacy proved particularly important in the Golden State when the California Air Resources Board responded to our establishing a first-of-its kind restriction on companies including Lyft and Uber: by 2030, 90 percent of the miles driven by these companies’ fleets must produce no carbon emissions.",Which governmental body was responsible for implementing the 2030 carbon emission restriction on ride-hailing companies in California?,The California Air Resources Board.,ESGBERT/environment_data,none,1,1,0,0,0,"Sinto que o par não é tão útil assim, porém acho que ele tem utilidade o suficiente para que esteja aqui."
"We are searching for economic and environmental balance that can come from a focus on collaboration, inclusive growth, social justice and Indigenous stewardship,” says Sealaska CEO Anthony Mallott.",What key elements does Sealaska's CEO emphasize in achieving economic and environmental balance?,"Sealaska's CEO emphasizes collaboration, inclusive growth, social justice, and Indigenous stewardship as key elements in achieving economic and environmental balance.",ESGBERT/environment_data,none,1,1,1,0,0,
"Because the corporate culture and legal climate in Japan are prohibitive for pressure campaigns, THL generates media coverage and builds positive relationships with companies to raise the profile of the cage-free issue and drive corporate action.",Why are pressure campaigns not a viable strategy for THL in Japan?,Because the corporate culture and legal climate in Japan are prohibitive for such campaigns.,ESGBERT/governance_data,none,1,0,0,1,0,
"Domino’s purchases pork, beef and poultry ingredients from suppliers who obtain their products from farmers and ranchers who raise and care for their animals in compliance with local, state and federal guidelines, industry best practices and the support of farm animal veterinarians.",What measures are in place to ensure responsible sourcing of animal-based ingredients by Domino’s suppliers?,"Domino’s ensures responsible sourcing by requiring suppliers to obtain pork, beef, and poultry ingredients from farmers and ranchers who comply with local, state, and federal guidelines, industry best practices, and the support of farm animal veterinarians.",ESGBERT/governance_data,none,1,1,0,1,0,
Providing crisis intervention and suicide prevention services to LGBTQ+ young people.,How does providing suicide prevention services contribute to the well-being of LGBTQ+ youth?,"It addresses the specific mental health challenges faced by LGBTQ+ young people, offering them support and reducing risks associated with identity-based discrimination and social isolation.",ESGBERT/governance_data,none,1,0,1,1,1,
Urban to Wild will also expand our efforts to develop the conservation leaders of the future.,What role does leadership development play in Urban to Wild’s environmental strategy?,Leadership development plays a central role in Urban to Wild’s environmental strategy by cultivating future conservation leaders.,ESGBERT/environment_data,none,1,1,0,1,0,"Acho que a pergunta é meio específica, porém acredito que um modelo conseguiria responder ela, principalmente se ele coletar informações da web"
Oceana’s job is to win policy changes that make the ocean more abundant and biodiverse.,What is Oceana's primary objective in relation to ocean health?,Oceana's primary objective is to win policy changes that increase ocean abundance and biodiversity.,ESGBERT/environment_data,none,1,1,0,1,0,
"In partnership with Grupo Ecológico Sierra Gorda, Viva Sier ra Gorda created a carbon-footprint campaign that directly supports local landowners and communities working to protect the Sierra Gorda Biosphere Reserve in Mexico.",How does the carbon-footprint campaign support the Sierra Gorda Biosphere Reserve?,The campaign directly supports local landowners and communities who are working to protect the Sierra Gorda Biosphere Reserve in Mexico.,ESGBERT/environment_data,none,1,1,1,0,0,
We leverage the National Institute of Standards and Technology (NIST) Cybersecurity Framework as the foundation of our cybersecurity program.,How might the adoption of the NIST Cybersecurity Framework contribute to good governance practices?,"The adoption of the NIST Cybersecurity Framework contributes to good governance practices by providing a structured, risk-based approach to managing cybersecurity, thereby enhancing accountability, transparency, and resilience.",ESGBERT/governance_data,none,1,0,0,1,0,
"No matter where or when the threats arise, the ACLU will remain resolute in our battle to ensure people can exercise their right to reproductive care.",What issue is the ACLU committed to defending through its resolute actions?,The ACLU is committed to defending the right to reproductive care.,ESGBERT/governance_data,none,1,0,0,1,0,
"• Minimizing Impact: Our environmental management system helped to minimize the environmental impact of our operations, with six of our U.S. facilities now operating under EPA defined Minor Source emission level.",What does operating under an EPA defined Minor Source emission level indicate about a facility’s environmental impact?,Operating under an EPA defined Minor Source emission level indicates that a facility has a lower level of environmental impact.,ESGBERT/governance_data,none,1,0,0,1,1,"Acho que uma pessoa inserida no contexto ESG conseguiria responder a pergunta facilmente, por isso coloquei que é geral"
NCOA created Age Well Planner to provide a trusted resource for adults to plan their retirement journey and ensure they can meet their goals for healthy aging.,What is the primary purpose of the Age Well Planner according to NCOA?,The primary purpose of the Age Well Planner is to help adults plan their retirement journey and meet their goals for healthy aging.,ESGBERT/social_data,none,1,0,1,0,0,
"In addition to our grant and scholarship programs, we provide associates with access to a range of Homer Fund-backed resources to support their financial wellbeing and decision making, including how to save for emergencies and protect themselves against fraud.",How does the Homer Fund contribute to improving associates' financial security?,The Homer Fund contributes by offering resources that help associates prepare for emergencies and avoid fraud.,ESGBERT/governance_data,none,1,0,0,1,0,
"But the Congo Nile Divide as a whole is extremely vulnerable to climate change, and climate change impacts—amplified by land conversion for agriculture and over-harvesting of fuelwood—have severely degraded its forests.","What factors, in addition to climate change, are contributing to the degradation of forests in the Congo Nile Divide?",Land conversion for agriculture and over-harvesting of fuelwood are contributing to the degradation of forests in the Congo Nile Divide.,ESGBERT/environment_data,none,1,1,0,0,0,
"AMC’s Ken Kimball Research Fellow, Arcadia Lee, has worked to establish organizational Energy and Climate Policies, setting the path for net zero no later than 2010 levels by 2030.",What role has Arcadia Lee played in advancing AMC’s environmental goals?,"Arcadia Lee has played a key role in establishing AMC’s Energy and Climate Policies, setting the foundation for the organization’s net zero emissions target.",ESGBERT/environment_data,none,1,1,0,0,0,"Acho que essa pergunta acaba sendo útil, pois fala sobre como a AMC progrediu em seus objetivos."
"West Count y DIGS has worked hard during the pandemic to keep its students in touch with nature and with health, wellness, and nutrition by digging deeper into online learning.",How has West Count y DIGS aimed to maintain students’ connection with health and the environment during the pandemic?,"West Count y DIGS has worked to keep its students in touch with nature and with health, wellness, and nutrition by deepening their engagement with online learning.",ESGBERT/environment_data,none,1,1,1,0,0,
"On Target 7 Signet will continue to protect consumers by advancing good governance of data privacy principles, including transparency regarding use and protection of client data, and maintaining compliance with relevant data privacy standards.",What governance-related practice will Signet continue to implement under Target 7?,"Signet will continue to advance good governance of data privacy principles, including transparency regarding the use and protection of client data.",ESGBERT/governance_data,none,1,0,0,1,0,
"Advancing Science-led Conservation Using conservation criminology, WCS and partners released a study in the journal Conservation Science and Practice about the wild meat trade, finding that restaurants in urban areas in Central Africa play a key role in whether protected wildlife winds up on the menu.","What role do urban restaurants play in the wild meat trade, according to the study conducted by WCS and partners?",Urban restaurants in Central Africa play a key role in determining whether protected wildlife ends up on the menu.,ESGBERT/environment_data,none,1,1,0,0,0,
Omnicom’s aim is to help its advertiser clients achieve their goals by serving the right advertisement at the right time to the right audience.,What is the primary focus of Omnicom's advertising strategy?,The primary focus of Omnicom's advertising strategy is targeting the right audience with relevant advertisements at the appropriate time.,ESGBERT/governance_data,none,1,0,0,1,0,
Urban Beet also built residents to the earth and empower people experiencing homelessness.,What initiative does Urban Beet engage in to support vulnerable populations?,Urban Beet empowers people experiencing homelessness.,ESGBERT/social_data,none,1,0,1,0,0,
We’re partnering with the local community to support forest health on Bald Mountain and throughout the Sawtooth National Forest.,What initiative is being undertaken to support forest health in the Sawtooth National Forest?,A partnership with the local community is being established to support forest health on Bald Mountain and throughout the Sawtooth National Forest.,ESGBERT/social_data,none,1,1,1,0,0,
"Though many in the animal protection movement have long known of the scale of suffering that fishes and other aquatic animals experience, the challenge has been identifying evidence based interventions that are powerful enough to change the industry.",What is a primary challenge in improving conditions for aquatic animals within the animal protection movement?,A primary challenge is identifying evidence-based interventions that are powerful enough to change the industry.,ESGBERT/environment_data,none,1,1,0,1,0,
"Rainforest Action Network preserves forests, protects the climate and upholds human rights by challenging corporate power and systemic injustice through frontline partnerships and strategic campaigns.",What specific rights does the Rainforest Action Network seek to uphold in its work?,The Rainforest Action Network seeks to uphold human rights in its work.,ESGBERT/environment_data,none,1,0,1,0,0,
"Both versions provide a comprehensive and fun approach to positive aging by focusing on key aspects of health, finances, relationships, personal growth, and community involvement.",In what way can personal growth and community involvement in positive aging initiatives foster social responsibility?,"Encouraging personal growth and community involvement helps build stronger, more inclusive societies, reinforcing social responsibility by empowering individuals to contribute meaningfully to their communities.",ESGBERT/social_data,none,1,0,1,0,1,
"We will expand rollout of SMART for health, creating a robust worldwide network of wildlife disease sentinels collecting and sharing information to stop the consumption of illegally caught wild meat—and prevent future pandemics.",How does the expansion of SMART for health contribute to public health and environmental sustainability?,"The expansion contributes by creating a network that monitors wildlife diseases, deters illegal wildlife consumption, and helps prevent the emergence of future pandemics.",ESGBERT/social_data,none,1,1,1,0,0,
"In both Kenya and Papua New Guinea, The Nature Conservancy can share examples of how women’s groups are learning about the value of mangrove forests surrounding their coastal towns and villages and then coming together to safeguard them.",How are women’s groups in Kenya and Papua New Guinea contributing to the protection of mangrove forests?,Women’s groups in Kenya and Papua New Guinea are learning about the value of mangrove forests and coming together to safeguard them.,ESGBERT/social_data,none,1,1,1,0,0,
The molecular program’s fascinating discoveries include: using environmental DNA (eDNA) to find endangered species; uncovering illegal wildlife trade activity; detecting wildlife disease risks; and conducting biodiversity surveys on Mount Everest.,How does conducting biodiversity surveys on Mount Everest contribute to broader environmental goals?,"Conducting biodiversity surveys on Mount Everest helps to assess the health of high-altitude ecosystems, identify species in extreme environments, and inform conservation strategies in regions vulnerable to climate change.",ESGBERT/environment_data,none,1,1,0,0,0,
Advancing Science to Catalyze Action All forests are not equal.,What role does science play in catalyzing action for forest conservation?,"Science plays a critical role by generating evidence-based insights that inform policy decisions, guide restoration efforts, and raise awareness about the importance of preserving diverse forest ecosystems.",ESGBERT/environment_data,none,1,1,0,1,1,"O contexto não é muito bom, mas o para (QA) é bem bom."
"And once a family has been evicted, the devastating harms can follow them for years, preventing them from securing stable housing anywhere else.",What broader social issue does the long-term impact of eviction highlight?,It highlights the issue of housing insecurity and the difficulty marginalized families face in rebuilding their lives after being displaced.,ESGBERT/social_data,none,1,0,1,0,1,
"Forests and peatlands sustain watersheds, mitigate rising sea level disasters, nurture biodiversity, and — critically — absorb and sequester carbon, just to name few benefits.",What is one way that forests and peatlands support environmental sustainability?,One way that forests and peatlands support environmental sustainability is by nurturing biodiversity.,ESGBERT/environment_data,none,1,1,0,0,1,
"(inspected by a food safety oversight body, (2) percentage receiving critical violations FB-RN250a.1 Domino’s has partnered with third-party food safety experts to provide enhanced food safety training and conduct annual food safety evaluations at all of our stores with a focus on building and sustaining a strong food safety culture.",Who is responsible for conducting the food safety evaluations at Domino’s?,Third-party food safety experts are responsible for conducting the food safety evaluations.,ESGBERT/social_data,none,1,0,1,0,0,
"At the tail end of Congress passed the landmark, bi partisan Energy Act of 2020— encompassing the Better Energy Storage Technology (BEST) Act, the Clean Industrial Technology Act, and a reauth orization of the Advanced Research Projects Agency–Energy—which included provisions for everything from batteries, renewables, and energy efficiency to nuclear energy and carbon capture.",What environmental technologies and practices did the provisions of the Energy Act of 2020 support?,"The provisions supported advancements in batteries, renewables, energy efficiency, nuclear energy, and carbon capture.",ESGBERT/environment_data,none,1,1,0,0,0,
Wilderness Society scientists have identified the most biologically rich places to create a resilient landscape network that will allow species of all kinds to migrate and adapt to rapidly changing climate conditions.,How does the initiative by Wilderness Society scientists support biodiversity under changing climate conditions?,"The initiative supports biodiversity by identifying biologically rich areas to create a resilient landscape network, enabling species to migrate and adapt to climate changes.",ESGBERT/social_data,none,1,1,0,0,0,
"© Oceana/Enrique Talledo Short-finned pilot whales (Globicephala macrorhynchus), shown in Spain’s Canary Islands, are social animals that travel in pods.","How does the social behavior of short-finned pilot whales, such as traveling in pods, relate to their need for conservation under the Social pillar of ESG?","The social behavior of short-finned pilot whales, such as traveling in pods, highlights the importance of protecting their habitats and ensuring their welfare as a collective, which aligns with the Social pillar of ESG by emphasizing the ethical treatment of sentient beings and the maintenance of biodiversity.",ESGBERT/social_data,none,1,1,1,0,0,
That’s why THL works to hold companies accountable to their cage-free commitments and ensure that they comply with state laws banning intensive confinement—freeing hens from tiny barren cages once and for all.,What is THL's primary objective in working with companies?,THL's primary objective is to hold companies accountable to their cage-free commitments and ensure compliance with state laws banning intensive confinement.,ESGBERT/governance_data,none,1,0,0,1,0,
"Reducing bycatch means improving monitoring and reporting, setting bycatch limits for fisheries, and encouraging fishers to use cleaner, safer gear.",Why is setting bycatch limits an important step in fisheries management?,"Setting bycatch limits is an important step in fisheries management because it provides clear thresholds to prevent the overexploitation of non-target species, thereby promoting sustainable fishing practices.",ESGBERT/governance_data,none,1,1,0,1,1,
Oceana is the largest international advocacy group dedicated solely to ocean conservation.,What kind of initiative does Oceana represent within the broader field of environmental protection?,Oceana represents a specialized initiative focused exclusively on advocating for the health and sustainability of the world’s oceans.,ESGBERT/environment_data,none,1,1,0,1,0,
"After more than two years of UCS work with community leaders and state lawmakers, Massachusetts passed legislation with strong emissions reduction targets and complementary clean energy policies.","What was the outcome of the collaboration between UCS, community leaders, and state lawmakers in Massachusetts?",The collaboration resulted in the passage of legislation with strong emissions reduction targets and complementary clean energy policies.,ESGBERT/social_data,none,1,1,0,1,0,
"WCS is using strong science, policy, and action on the ground to protect trafficked species while safeguarding human health.",What approach is WCS using to address both wildlife trafficking and human health concerns?,"WCS is using strong science, policy, and action on the ground to address both wildlife trafficking and human health concerns.",ESGBERT/governance_data,none,1,1,1,1,0,
"The law commits the state to reaching net-zero emissions by clear sector-specific targets for 2030 and 2040, and addresses longstanding socioeconomic inequities. MIDWEST UCS efforts in the Midwest yielded several major victories last year.",Which region benefited from major victories as a result of MIDWEST UCS efforts?,The Midwest region benefited from major victories as a result of MIDWEST UCS efforts.,ESGBERT/environment_data,none,1,1,0,0,0,
"Under Williams’ direction, Bloomberg Philanthropies supports environmental initiatives to improve the sustainability of cities around the world, accelerate the transition to clean energy, and combat overfishing and protect coral reefs.",What environmental goals does Bloomberg Philanthropies support under Williams’ leadership?,"Under Williams’ leadership, Bloomberg Philanthropies supports environmental initiatives aimed at improving the sustainability of cities, accelerating the transition to clean energy, and combating overfishing and protecting coral reefs.",ESGBERT/environment_data,none,1,1,0,0,0,
"By combining Sailors for the Sea’s goal of educating boaters about marine conservation with Oceana’s experience mobilizing supporters to advocate for policy that supports healthy and abundant oceans, the Green Boating Initiative creates a global network of active, engaged ocean champions within the sailing and boating community.",What is one way Sailors for the Sea supports ocean conservation through the Green Boating Initiative?,Sailors for the Sea supports ocean conservation through the Green Boating Initiative by educating boaters about marine conservation.,ESGBERT/environment_data,none,1,1,0,0,0,
"In response, WCS is advancing a science-based strategy to end commercial trade in live, wild birds and mammals for human consumption.",What specific trade is WCS aiming to end through its science-based strategy?,"WCS is aiming to end the commercial trade in live, wild birds and mammals for human consumption.",ESGBERT/social_data,none,1,1,1,0,0,
– Sir Anthony Hopkins “American Humane pioneered assuring the well-being of animals used in cinema production.,What specific initiative is credited to American Humane in relation to animal welfare in the film industry?,American Humane is credited with pioneering the assurance of animal well-being in cinema production.,ESGBERT/social_data,none,1,1,0,0,0,
"The three main categories of water usage for Domino’s included purchased goods (including the production of ingredients and packaging materials), which accounted for 91% of water usage.",What is the primary source of water usage for Domino’s?,"The primary source of water usage for Domino’s is purchased goods, including the production of ingredients and packaging materials, which account for 91% of total water usage.",ESGBERT/governance_data,none,1,1,0,1,0,
"WCS works in more elephant landscapes than any other conservation organization—and we have an evidencebased, proven strategy to not only stop their decline, but enable them to recover.",How does WCS distinguish its approach to elephant conservation from other organizations?,"WCS distinguishes itself by operating in more elephant landscapes than any other conservation organization and using an evidence-based, proven strategy.",ESGBERT/environment_data,none,1,1,0,0,0,
